Chr	cM	Mb
1	77.24	110.275045
1	77.526	110.578147
1	77.526	110.723532
1	78.111	110.960851
1	78.398	111.52832
1	78.398	112.363107
1	78.684	112.504773
1	78.971	112.847441
1	78.971	117.32081
1	79.555	117.62678
1	79.842	117.932804
1	80.128	118.454508
1	80.128	120.37937
1	80.415	120.637061
1	80.701	120.871754
1	80.701	121.957698
1	80.988	122.017244
1	80.988	122.817183
1	81.274	123.358515
1	81.274	125.888671
1	81.561	126.516497
1	81.561	128.188952
1	82.146	128.355209
1	82.146	128.413909
1	82.73	128.464782
1	82.73	128.523837
1	83.637	128.62571
1	83.637	128.842816
1	83.923	129.064812
1	84.21	129.336686
1	84.496	129.548233
1	84.496	130.22659
1	84.783	130.357591
1	85.368	130.48564
1	85.368	130.485674
1	86.263	132.747529
1	86.263	133.40197
1	86.55	133.558513
1	86.55	134.993249
1	86.836	135.115363
1	86.836	135.256758
1	87.123	135.259674
1	87.409	135.283862
1	87.409	135.695642
1	87.696	135.891043
1	87.982	136.107289
1	87.982	138.214493
1	88.567	138.462985
1	88.567	141.128163
1	89.159	141.417667
1	89.449	144.862428
1	91.41	147.391347
1	91.41	148.385402
1	92.305	148.717644
1	92.89	149.096503
1	92.89	150.827106
1	93.176	151.137795
1	93.176	151.748339
1	93.47	151.907068
1	93.47	152.045336
1	93.756	152.165051
1	94.043	152.491006
1	94.043	153.539522
1	94.949	154.395966
1	94.949	154.628103
1	95.236	154.761279
1	95.522	155.032003
1	95.522	155.319103
1	95.809	155.607805
1	95.809	155.750988
1	96.4	156.052563
1	96.69	156.456242
1	97.275	157.588921
1	97.275	157.76194
1	97.561	157.809197
1	97.848	157.900405
1	97.848	158.391413
1	98.134	158.554748
1	98.421	158.579244
1	98.421	158.662801
1	98.707	158.704597
1	98.994	158.73872
1	98.994	159.872934
1	99.284	160.302633
1	99.574	160.477202
1	99.574	161.687297
1	100.165	162.215218
1	100.452	162.387225
1	100.738	162.437742
1	100.738	163.901482
1	101.323	163.955812
1	101.323	164.18019
1	101.61	164.247768
1	101.896	164.528848
1	101.896	164.935094
1	103.131	165.31511
1	103.131	168.178247
1	103.421	168.323142
1	103.421	168.614065
1	103.707	168.762928
1	103.994	168.913137
1	103.994	169.017891
1	105.213	169.153242
1	105.213	169.192841
1	105.5	169.225247
1	105.786	169.304758
1	105.786	169.640434
1	106.073	169.859202
1	106.359	169.890201
1	106.359	169.907833
1	117.749	172.981863
1	118.035	173.149434
1	118.035	173.679247
1	118.322	173.73461
1	118.608	174.164127
1	118.895	174.201925
1	118.895	174.420751
1	119.181	174.792334
1	119.181	175.262195
1	120.416	175.67688
1	120.416	176.471327
1	120.702	176.534627
1	120.702	176.54264
1	120.989	176.558863
1	121.275	176.608846
1	121.275	177.366982
1	121.276	177.53153
1	125.22	182.21391
1	125.51	182.341751
1	125.796	182.53124
1	125.796	183.347399
1	126.083	183.936095
1	126.083	184.421781
1	128.393	186.14623
1	128.992	186.269049
1	129.285	186.554195
1	129.884	187.001839
1	131.82	187.711001
1	131.82	187.762136
1	132.715	188.060928
1	133.002	188.085707
1	133.292	188.452708
1	133.292	188.708627
1	134.198	188.966258
1	134.488	189.435367
1	135.094	189.866756
1	135.381	190.087097
1	135.381	190.268437
1	135.966	190.342184
1	136.252	190.51153
1	136.252	190.735357
1	136.542	190.852996
1	138.822	190.99416
1	139.116	191.629931
1	139.116	191.712942
1	139.402	191.912106
1	139.402	191.933803
1	139.689	192.867016
1	141.6	193.731996
1	142.506	193.992202
1	142.793	194.086272
1	142.793	194.16777
1	143.079	194.325876
1	143.079	194.439429
1	143.366	194.704347
1	143.366	195.301069
1	143.957	195.987783
1	143.957	196.289269
1	144.244	196.404284
1	144.53	197.014645
1	144.53	197.134686
2	0.0	5.767412
2	0.0	6.232362
2	4.91	9.751287
2	7.613	11.707491
2	8.509	13.357843
2	11.581	16.227338
2	11.868	17.833384
2	12.763	17.962147
2	12.763	18.741507
2	13.659	19.000349
2	13.659	19.676481
2	14.554	19.938933
2	14.554	22.676435
2	15.139	23.199299
2	15.425	23.94916
2	15.425	24.390671
2	16.01	24.827272
2	16.01	25.395301
2	16.906	25.726695
2	16.906	25.95104
2	17.192	26.223874
2	17.777	26.733409
2	20.119	30.296486
2	20.119	30.541428
2	20.405	31.02754
2	20.405	31.290123
2	20.692	31.678177
2	20.692	32.089219
2	20.978	32.470461
2	20.978	33.073857
2	21.265	33.305485
2	21.551	33.488529
2	21.838	33.798339
2	21.838	33.850138
2	22.124	33.990289
2	22.411	34.478979
2	22.411	34.748651
2	22.701	34.869156
2	23.607	35.252641
2	24.524	35.957195
2	24.524	37.285189
2	24.811	37.512632
2	24.811	39.670019
2	25.097	39.868106
2	25.097	39.958939
2	25.384	40.196434
2	25.384	40.655058
2	25.67	40.783489
2	25.67	41.295573
2	26.566	41.533578
2	26.566	42.34148
2	27.786	42.741653
2	27.786	43.300079
2	28.37	43.538349
2	28.37	43.647239
2	28.657	43.833514
2	28.657	44.06441
2	28.943	44.257292
2	30.193	44.443839
2	30.193	44.97654
2	30.48	45.04781
2	30.766	45.193635
2	31.056	45.522549
2	31.056	45.926636
2	31.35	46.084533
2	31.35	46.848831
2	31.64	47.02013
2	31.64	48.251339
2	32.224	50.50058
2	32.224	50.645385
2	32.511	50.808751
2	32.511	51.078588
2	32.797	51.252307
2	32.797	52.096736
2	33.084	52.289185
2	33.084	52.430772
2	33.37	52.672634
2	33.657	53.042642
2	33.657	54.904604
2	37.155	55.26633
2	37.155	57.167605
2	37.441	57.512264
2	37.441	57.639377
2	38.676	57.861767
2	38.676	57.983436
2	38.962	58.041979
2	38.962	58.748695
2	40.197	60.486382
2	40.483	60.939726
2	40.483	61.778204
2	41.068	62.000421
2	41.068	62.483389
2	41.358	62.490364
2	41.358	62.717693
2	41.645	62.841063
2	41.645	63.191032
2	41.931	63.410908
2	42.218	63.687212
2	42.504	63.950898
2	42.504	64.580034
2	42.794	64.696668
2	42.794	64.957107
2	43.081	65.140124
2	43.081	65.49655
2	43.665	65.704271
2	43.665	66.071592
2	43.952	66.188207
2	43.952	66.339177
2	44.238	66.805956
2	44.525	66.930919
2	44.525	67.516464
2	44.811	67.69435
2	44.811	68.501311
2	47.153	69.180906
2	48.048	69.56266
2	48.048	69.6349
2	48.335	69.773819
2	48.335	70.077516
2	52.28	72.239856
2	52.566	73.133109
2	52.566	73.314617
2	52.853	73.91328
2	52.853	74.149179
2	53.748	74.927702
2	54.333	75.514788
2	54.619	75.856729
2	54.619	76.308799
2	57.735	77.938377
2	58.63	79.183599
2	58.63	79.609074
2	61.703	80.455843
2	61.703	81.608099
2	61.989	81.946273
2	61.989	82.834231
2	62.885	83.092616
2	62.885	85.626037
2	63.171	85.734083
2	63.458	85.788244
2	63.458	87.864978
2	63.744	88.186455
2	63.744	91.849772
2	65.322	93.260017
2	65.608	93.528207
2	66.193	93.727075
2	66.479	94.377938
2	66.479	97.874847
2	68.415	98.027111
2	68.415	99.449032
2	69.0	99.665471
2	69.0	100.653343
2	69.286	100.829473
2	69.286	101.163196
2	70.182	101.560603
2	70.182	102.471684
2	71.077	102.941478
2	71.077	103.12449
2	71.364	103.290656
2	71.364	103.740089
2	71.65	103.939708
2	71.65	104.192033
2	71.937	104.267463
2	71.937	106.028946
2	73.157	106.438338
2	73.157	106.731368
2	74.063	107.081146
2	74.349	107.305293
2	74.349	108.344794
2	74.636	108.697731
2	74.636	109.233748
2	74.922	109.622851
2	75.209	109.829995
2	75.209	111.930239
2	75.499	112.125007
2	75.499	113.257557
2	75.785	113.40843
2	75.785	113.667508
2	76.377	114.022897
2	76.664	114.118624
2	76.95	114.205618
2	76.95	115.248629
2	77.237	115.487884
2	77.237	115.715582
2	77.523	115.832113
2	77.523	116.411065
2	78.419	117.118531
2	78.419	118.639997
2	79.314	118.706766
2	79.314	121.192483
2	79.601	121.412768
2	79.601	122.144318
2	79.887	122.383805
2	79.887	123.128346
2	80.174	123.217395
2	80.46	123.293024
2	80.46	123.48121
2	80.747	125.304784
2	80.747	125.564677
2	81.033	125.704534
2	81.033	127.840968
2	81.32	128.199225
2	81.32	128.383737
2	81.606	128.617917
2	81.606	128.959488
2	81.893	129.049208
2	81.893	129.125487
2	82.182	130.881867
2	82.182	131.240777
2	82.469	131.372742
2	82.469	131.487026
2	83.364	131.679414
2	83.364	131.81927
2	86.437	134.345045
2	86.437	135.758394
2	87.657	135.953691
2	87.657	136.253016
2	90.324	139.549795
2	90.324	142.22646
2	90.909	142.5298
2	90.909	144.810572
2	91.195	145.107382
2	91.195	147.753899
2	91.482	147.881058
2	91.482	149.271014
2	91.768	149.491611
2	91.768	149.804747
2	92.055	152.495772
2	92.055	153.967019
2	92.341	154.372103
2	92.341	154.520255
2	93.259	156.689629
2	93.259	157.295558
2	93.844	157.820958
2	93.844	158.44135
2	94.13	158.566514
2	94.13	158.683923
2	100.0	158.870386
2	100.92	159.368724
2	100.92	159.495561
2	101.207	159.808392
2	101.207	159.935636
2	101.798	160.129429
2	102.088	160.59498
2	102.088	160.792942
2	104.369	161.566037
2	104.369	161.715338
2	104.655	161.871393
2	104.655	162.322313
2	105.24	162.483272
2	105.527	162.50259
2	105.823	162.978274
2	105.823	163.577494
2	106.415	163.632487
2	106.415	163.647544
2	107.65	164.13326
2	107.65	164.183538
2	107.939	164.199695
2	107.939	164.215896
2	108.226	164.559755
2	108.811	164.779024
2	111.926	165.608227
2	111.926	165.876925
2	112.212	166.455886
2	112.212	166.960448
2	113.77	167.301481
2	116.438	168.349119
2	116.438	168.753933
2	116.724	168.792185
2	117.01	168.912437
2	117.01	169.313399
2	117.297	169.470357
2	117.583	169.577779
2	117.583	169.667479
2	118.803	169.77838
2	118.803	169.938614
2	123.422	170.652472
2	123.708	171.214528
2	123.708	171.222943
2	123.998	171.350039
2	123.998	171.57143
2	124.285	172.047669
2	124.571	172.563705
2	124.571	172.849974
2	127.775	173.376091
2	128.062	173.433323
2	137.091	178.452023
2	137.997	178.942786
2	138.893	179.013701
2	139.788	179.257463
2	139.788	179.30886
2	140.373	179.6956
2	140.373	179.860959
2	140.965	180.422341
2	142.184	180.825581
2	142.184	181.542228
3	0.0	3.785417
3	0.0	5.904282
3	0.286	6.400305
3	0.573	6.807954
3	0.573	7.614769
3	0.86	7.679814
3	0.86	8.754999
3	2.437	9.269818
3	2.437	9.483988
3	3.022	10.018672
3	3.308	10.327101
3	3.308	11.015894
3	4.866	12.565616
3	4.866	13.756946
3	5.152	14.378118
3	5.152	15.770713
3	5.439	15.893579
3	5.439	16.350288
3	5.729	16.964501
3	6.015	17.057225
3	6.015	17.534547
3	6.302	17.771986
3	6.302	18.466142
3	7.197	18.62539
3	7.197	19.163311
3	7.484	19.544553
3	9.102	21.265673
3	9.102	22.507001
3	9.389	23.338083
3	11.3	26.093916
3	11.3	26.2806
3	11.586	27.500204
3	11.586	27.874493
3	13.144	28.293133
3	13.144	28.537366
3	13.431	28.626876
3	13.431	31.752411
3	13.717	32.476135
3	13.717	33.601926
3	14.937	33.813623
3	14.937	33.964648
3	15.223	35.458613
3	17.504	36.502922
3	17.794	36.739263
3	17.794	36.836602
3	18.08	37.307265
3	18.08	37.339253
3	18.367	38.005778
3	18.367	38.297774
3	19.586	38.788806
3	19.586	38.788981
3	21.497	39.719815
3	21.497	39.792841
3	21.784	39.9314
3	22.679	40.358477
3	22.679	40.903535
3	22.969	41.397765
3	22.969	41.908055
3	23.256	42.213854
3	24.833	45.974817
3	25.12	46.613439
3	25.12	50.925957
3	31.404	53.073654
3	31.404	53.884578
3	31.691	54.081736
3	31.977	54.556028
3	33.197	54.674449
3	36.744	54.853261
3	36.744	55.06028
3	37.031	55.832831
3	37.031	56.168461
3	37.622	56.295375
3	37.622	56.759331
3	38.529	57.139218
3	38.529	57.241533
3	40.465	57.627214
3	40.465	57.801764
3	41.049	58.29384
3	41.049	58.869968
3	42.315	61.072169
3	42.315	61.979196
3	42.602	62.387788
3	42.602	65.19529
3	43.508	65.474783
3	43.508	66.254082
3	43.795	66.391505
3	44.081	66.488771
3	44.081	67.016943
3	45.301	67.946723
3	45.301	68.376548
3	45.587	68.871335
3	45.587	69.548775
3	46.494	70.420436
3	46.494	72.462618
3	47.078	74.542041
3	47.078	75.418535
3	47.974	75.866498
3	47.974	76.648946
3	48.26	76.729233
3	48.26	77.055644
3	48.547	77.716616
3	48.547	80.928433
3	48.833	81.299106
3	48.833	81.433731
3	49.425	82.19989
3	49.425	84.792917
3	49.715	84.948287
3	49.715	85.493835
3	50.3	85.931835
3	50.3	87.487047
3	50.593	87.719793
3	50.593	88.310085
3	50.88	88.658601
3	50.88	89.036581
3	51.166	89.347287
3	51.166	89.446771
3	51.751	89.894692
3	51.751	90.219226
3	52.037	90.413738
3	52.037	92.379161
3	52.327	93.391098
3	52.327	95.488016
3	54.263	98.086967
3	54.263	99.35696
3	54.848	100.191841
3	54.848	100.523615
3	55.138	100.779518
3	55.424	100.965174
3	55.424	101.016753
3	55.711	101.413915
3	58.783	104.918493
3	58.783	105.273321
3	59.07	105.471016
3	59.07	106.767997
3	59.655	106.93211
3	59.655	107.27405
3	60.239	108.822022
3	60.239	108.995323
3	61.135	109.232254
3	61.421	109.396036
3	61.421	110.356943
3	61.708	111.020771
3	61.708	111.520271
3	61.994	112.036748
3	61.994	112.489447
3	63.214	112.860456
3	63.214	115.415076
3	63.504	115.644636
3	63.504	117.113352
3	67.002	118.290073
3	67.002	119.016592
3	67.292	119.424849
3	68.526	120.606857
3	68.526	121.501416
3	68.816	121.796641
3	68.816	121.998617
3	69.401	122.17706
3	69.401	123.077047
3	70.296	126.116578
3	71.874	127.995451
3	71.874	128.047879
3	72.16	128.339513
3	72.745	128.958446
3	78.728	129.527943
3	78.728	132.189065
3	79.015	132.350865
3	79.015	133.905166
3	79.301	134.595338
3	79.301	136.479847
3	79.9	137.054607
3	79.9	137.87971
3	80.485	138.220053
3	81.07	138.622071
3	81.965	139.132076
3	81.965	139.703353
3	82.252	140.100056
3	84.532	141.704635
3	84.819	142.297853
3	84.819	143.221105
3	86.038	143.405391
3	86.325	144.1437
3	86.325	144.305923
3	87.22	144.425237
3	87.22	144.668167
3	87.805	145.095423
3	89.04	146.29405
3	89.04	146.395299
3	89.625	148.269914
3	91.182	149.089195
3	91.182	150.272016
3	91.469	150.419214
3	91.755	150.996553
3	92.651	151.146792
3	92.937	151.227283
3	95.311	153.986405
3	95.311	153.98753
3	95.895	154.440246
3	95.895	154.631654
3	96.494	154.789372
3	96.494	154.97732
3	96.781	155.062196
3	96.781	155.204938
3	97.067	155.445671
3	97.652	156.399373
3	97.939	156.80275
3	98.53	156.99282
3	99.115	157.182751
3	99.115	157.458209
3	99.402	157.646003
3	99.688	157.878563
3	99.688	159.475019
4	0.0	3.630815
4	0.0	3.649823
4	0.286	4.494213
4	0.286	5.363013
4	0.871	5.606394
4	2.449	6.820702
4	2.449	7.68268
4	2.735	7.899383
4	2.735	9.051846
4	3.327	9.203863
4	4.562	9.390855
4	4.562	9.876066
4	4.848	10.142141
4	4.848	10.826234
4	5.135	11.14838
4	5.135	11.507152
4	5.719	13.031015
4	6.009	13.563196
4	6.296	13.764991
4	8.257	16.419441
4	8.257	18.045359
4	8.543	18.609946
4	8.543	18.913828
4	8.833	19.508349
4	9.418	19.653457
4	9.704	19.960179
4	9.704	20.21524
4	10.6	20.446244
4	10.6	21.607032
4	13.303	22.163486
4	13.303	22.306517
4	13.59	22.678191
4	13.59	23.419485
4	15.526	28.249559
4	16.76	29.190385
4	17.05	30.820745
4	17.05	31.148829
4	17.337	31.651725
4	17.337	32.10726
4	18.232	32.187427
4	18.232	32.296718
4	18.519	33.109559
4	18.519	33.171459
4	22.463	34.041018
4	22.463	35.257016
4	24.021	40.972606
4	24.606	42.803506
4	24.606	43.197669
4	24.892	43.209771
4	25.179	43.562052
4	25.179	43.912591
4	25.465	44.245671
4	25.752	44.330249
4	26.042	45.502302
4	26.042	45.717874
4	26.948	45.985763
4	26.948	46.188227
4	27.235	46.55337
4	29.17	47.049014
4	30.066	49.601464
4	30.356	49.784162
4	30.356	50.695665
4	30.642	50.881071
4	30.642	51.294469
4	30.929	52.294101
4	30.929	53.915356
4	31.215	54.372336
4	31.215	54.736368
4	31.502	54.911505
4	31.788	55.060596
4	31.788	56.036003
4	32.373	56.510055
4	32.373	57.442781
4	32.66	57.626581
4	32.66	58.332265
4	33.879	58.386896
4	33.879	59.713469
4	34.166	59.848201
4	34.452	61.518986
4	35.0	62.17
4	36.01	62.36829
4	36.602	63.346622
4	36.602	64.515457
4	36.888	64.892575
4	36.888	65.047571
4	37.473	65.605268
4	38.058	66.843058
4	38.344	68.938179
4	38.631	69.760185
4	38.631	71.59692
4	38.917	71.80132
4	38.917	73.879433
4	39.813	74.037476
4	39.813	75.249698
4	40.708	75.438626
4	40.708	75.493222
4	40.995	75.774916
4	40.995	76.484833
4	41.281	78.698063
4	41.281	80.950126
4	42.501	81.60458
4	42.501	81.934379
4	43.086	82.262281
4	43.086	83.447453
4	43.372	83.585214
4	43.372	84.012618
4	43.659	84.738619
4	43.659	85.877643
4	43.945	86.17132
4	43.945	87.106964
4	44.232	87.303084
4	44.232	87.557342
4	44.518	87.69788
4	44.518	88.03947
4	44.805	88.238303
4	45.091	88.597632
4	45.091	89.126033
4	45.378	89.978372
4	45.378	91.021365
4	45.664	94.099078
4	45.951	94.588537
4	45.951	94.941985
4	46.846	95.416079
4	48.782	96.563639
4	48.782	96.65362
4	49.068	97.010925
4	49.068	98.98677
4	49.653	101.102848
4	53.714	103.313311
4	53.714	103.634667
4	54.001	103.839032
4	54.001	104.187377
4	55.251	104.961979
4	55.538	105.321483
4	55.538	105.382089
4	55.824	106.898333
4	55.824	107.061696
4	58.166	108.237102
4	58.166	108.383459
4	58.75	108.879987
4	59.335	108.948035
4	59.335	109.187492
4	59.622	109.473539
4	59.908	109.541547
4	59.908	110.78783
4	60.804	110.966847
4	60.804	114.284493
4	61.403	114.507955
4	61.403	115.975048
4	61.689	116.782133
4	61.689	117.436181
4	61.976	117.942127
4	61.976	118.116037
4	62.265	118.271127
4	62.265	118.641058
4	62.555	119.150595
4	62.555	119.754587
4	63.451	120.07855
4	63.451	120.476225
4	65.009	120.731447
4	65.009	120.875373
4	65.295	121.069747
4	65.295	121.366804
4	65.582	122.536808
4	65.582	123.676433
4	65.868	123.873194
4	65.868	123.885162
4	66.155	124.048406
4	66.746	124.517595
4	66.746	124.7454
4	68.657	125.265631
4	70.235	126.150088
4	70.521	126.389349
4	74.019	127.074543
4	74.306	127.433884
4	74.306	128.20015
4	75.883	129.249414
4	75.883	129.300959
4	76.17	129.390617
4	76.46	129.607839
4	76.46	129.630774
4	77.0	130.374402
4	78.447	131.555155
4	80.065	132.410009
4	80.065	133.435413
4	80.351	133.563657
4	80.351	133.80895
4	80.638	133.92334
4	81.23	135.285445
4	81.23	135.525151
4	81.519	135.99844
4	81.519	136.10844
4	81.806	136.230563
4	81.806	137.344298
4	81.806	137.764128
4	82.099	138.152371
4	82.099	138.711174
4	82.389	139.112379
4	82.389	139.225622
4	82.676	139.323755
4	82.676	140.081802
4	83.91	140.166293
4	85.13	140.528837
4	85.13	140.755877
4	85.416	140.884372
4	86.008	141.17104
4	86.008	142.095183
4	86.294	142.301239
4	86.581	142.466391
4	87.173	142.772318
4	88.73	142.959726
4	88.73	144.118896
4	89.315	144.563167
4	89.315	147.520406
4	89.602	147.659224
4	89.602	148.197077
4	91.513	149.683529
4	91.513	149.771461
4	91.799	149.850457
4	92.086	150.309623
4	92.086	150.45996
4	93.997	150.659778
4	94.283	150.872155
4	94.283	151.18303
4	94.868	152.699719
4	97.609	153.428155
4	97.609	153.699283
4	98.504	153.804166
4	98.791	154.07963
4	100.702	154.365177
4	100.702	154.59978
4	102.638	154.876683
4	102.638	155.042584
4	104.549	155.235046
4	104.835	155.281702
4	105.42	155.384693
4	106.997	155.495856
4	106.997	155.557885
5	0.0	3.143127
5	0.0	4.304151
5	0.286	4.468199
5	0.573	4.597866
5	1.793	5.432077
5	2.079	5.860531
5	2.079	6.666231
5	2.366	6.954547
5	2.366	7.163491
5	5.069	12.371155
5	5.069	13.253242
5	6.627	13.823358
5	7.212	13.998375
5	7.212	14.163895
5	8.431	14.324112
5	8.431	15.627274
5	8.721	15.759205
5	8.721	15.875692
5	9.956	16.221091
5	9.956	16.300899
5	10.555	16.515813
5	10.841	16.842123
5	10.841	17.827235
5	12.418	18.648049
5	12.418	18.734741
5	16.899	20.753292
5	16.899	21.120062
5	17.186	21.254588
5	17.186	22.574278
5	17.77	22.716674
5	17.77	23.152003
5	18.057	23.47105
5	18.057	23.496643
5	18.343	23.652259
5	19.25	23.827218
5	19.841	24.008815
5	19.841	24.391317
5	20.128	24.621789
5	20.414	25.161102
5	20.414	25.303741
5	24.537	33.660747
5	24.83	33.930826
5	24.83	35.542091
5	25.116	35.774762
5	25.116	35.849412
5	25.403	36.160644
5	25.689	36.393186
5	25.689	36.814248
5	28.031	40.028595
5	28.318	40.155691
5	28.318	40.810923
5	28.604	41.433961
5	28.604	41.690143
5	28.891	41.922476
5	28.891	42.201443
5	29.18	42.448018
5	29.467	42.600454
5	29.467	43.174669
5	30.059	43.57136
5	30.059	44.040633
5	30.345	44.234623
5	30.345	44.308007
5	30.638	44.449244
5	31.889	44.555833
5	31.889	45.362658
5	32.473	45.747534
5	32.473	46.298151
5	32.76	46.470709
5	32.76	46.96739
5	33.046	47.188739
5	33.046	47.789888
5	33.333	48.067856
5	33.333	50.689925
5	35.244	52.907863
5	35.244	53.047497
5	35.53	53.088464
5	35.817	53.200018
5	35.817	53.22542
5	38.976	53.431174
5	38.976	53.667318
5	39.262	54.048318
5	39.262	54.511061
5	39.549	54.717472
5	39.549	54.803385
5	40.148	55.122679
5	40.148	55.122861
5	41.043	55.223371
5	41.043	55.615299
5	41.33	56.064119
5	41.33	56.469265
5	41.616	56.762548
5	41.616	57.923964
5	42.851	58.079465
5	42.851	58.345824
5	43.137	58.567822
5	43.137	58.761466
5	43.424	59.037549
5	43.424	60.389644
5	44.319	60.83506
5	44.319	63.372867
5	44.606	63.556501
5	44.606	63.605204
5	44.892	63.821508
5	44.892	65.070489
5	45.477	65.141991
5	45.477	66.5467
5	45.764	66.605986
5	46.681	66.893862
5	46.971	67.053113
5	46.971	67.11861
5	47.257	67.289019
5	47.257	67.538357
5	47.842	67.739261
5	47.842	67.964305
5	48.738	69.527298
5	49.024	71.133298
5	49.92	72.415728
5	49.92	72.569707
5	50.206	72.711077
5	50.206	73.51955
5	50.493	73.733815
5	50.493	74.027159
5	50.783	74.219747
5	50.783	75.274691
5	51.069	75.550711
5	51.356	75.857165
5	51.642	76.154829
5	51.642	76.243459
5	53.2	76.574921
5	53.2	76.590703
5	53.49	77.316224
5	53.49	77.567064
5	53.78	78.208833
5	54.066	78.347362
5	54.066	80.716991
5	55.624	82.835235
5	55.624	83.810837
5	55.911	84.265108
5	55.911	84.702389
5	56.197	85.065017
5	56.197	85.502588
5	56.782	85.890222
5	56.782	90.247206
5	57.068	90.500265
5	57.068	90.712225
5	58.303	90.92527
5	58.303	91.522144
5	58.589	91.570928
5	58.876	91.74329
5	58.876	91.904487
5	59.162	92.055405
5	59.449	92.179789
5	59.449	92.791104
5	59.735	93.266859
5	60.022	93.586009
5	60.308	94.154651
5	60.308	96.769729
5	60.595	96.820799
5	60.881	96.912339
5	61.168	97.067845
5	61.168	97.475419
5	61.454	97.811507
5	61.454	97.939374
5	62.35	98.239477
5	62.35	98.940813
5	62.636	98.975791
5	62.926	99.431952
5	62.926	100.055411
5	63.213	100.23058
5	63.503	100.477632
5	63.789	100.641821
5	63.789	100.985979
5	64.076	101.275779
5	64.076	101.998195
5	65.634	103.062843
5	65.634	103.44185
5	65.92	103.545839
5	66.21	103.696016
5	66.21	103.867898
5	66.496	104.026896
5	66.496	104.357981
5	69.569	104.572763
5	69.569	105.967615
5	69.856	106.201155
5	70.142	106.233589
5	70.741	106.769481
5	70.741	107.112541
